                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.85222,                 1.1111,                 1.0566,                0.56004,                0.41998,                0.45152,                0.31088,                 1.2326,                  1.888,                  1.255,             0.00056911,             0.00056911,             0.00056911
                     35,                0.82927,                 1.0432,                 1.0442,                0.41569,                0.44039,                  0.384,                 0.2666,                 1.1975,                 2.1715,                 1.2531,             0.00056086,             0.00056086,             0.00056086
                     36,                0.87578,                 1.0831,                 1.0537,                0.60496,                0.40262,                0.46536,                0.31349,                 1.2219,                 1.8524,                 1.2749,             0.00055261,             0.00055261,             0.00055261
                     37,                0.85429,                 1.0579,                 1.0371,                0.48584,                0.38894,                0.39997,                0.27891,                 1.1796,                  1.986,                 1.2203,             0.00054437,             0.00054437,             0.00054437
                     38,                0.85426,                 1.0487,                 1.0413,                0.72319,                0.38893,                0.47421,                0.34516,                  1.168,                 1.7715,                 1.2234,             0.00053612,             0.00053612,             0.00053612
                     39,                0.83047,                 1.0239,                  1.042,                0.57555,                0.42535,                0.47364,                0.33238,                  1.232,                 1.8517,                 1.2741,             0.00052787,             0.00052787,             0.00052787
                     40,                0.81148,                 1.0023,                 1.0238,                0.52312,                0.49358,                  0.479,                0.34175,                 1.1747,                 1.6741,                 1.2328,             0.00051963,             0.00051963,             0.00051963
                     41,                0.79104,                0.95968,                 1.0095,                0.52618,                0.46714,                0.45591,                  0.319,                 1.1714,                 1.8908,                 1.2472,             0.00051138,             0.00051138,             0.00051138
                     42,                0.81961,                 1.0139,                 1.0336,                0.53536,                0.48873,                 0.5111,                0.36275,                 1.1682,                 1.6982,                 1.2715,             0.00050313,             0.00050313,             0.00050313
                     43,                0.78793,                0.93953,                 1.0129,                0.64481,                0.46153,                0.50481,                0.35933,                 1.1766,                 1.6411,                 1.2355,             0.00049489,             0.00049489,             0.00049489
                     44,                0.79353,                0.92361,                0.99401,                0.61651,                0.46143,                0.49559,                0.35819,                 1.1185,                 1.6652,                 1.1802,             0.00048664,             0.00048664,             0.00048664
                     45,                0.80328,                0.90967,                0.99086,                0.58246,                0.49196,                 0.5247,                0.37824,                  1.145,                 1.6411,                 1.2027,             0.00047839,             0.00047839,             0.00047839
                     46,                0.78776,                0.90421,                 1.0225,                0.69006,                0.43646,                0.50947,                0.36543,                 1.1587,                 1.6234,                 1.2204,             0.00047015,             0.00047015,             0.00047015
                     47,                0.80884,                0.92746,                 1.0209,                0.55866,                0.45949,                0.47079,                0.34399,                 1.1401,                 1.6652,                 1.2221,              0.0004619,              0.0004619,              0.0004619
                     48,                0.78617,                 0.8923,                0.99256,                0.68567,                0.40902,                0.46474,                0.33317,                 1.1676,                 1.7919,                 1.2292,             0.00045365,             0.00045365,             0.00045365
                     49,                0.80367,                0.89712,                 1.0241,                0.56186,                0.45373,                 0.4536,                0.31751,                 1.2125,                  1.891,                 1.2476,             0.00044541,             0.00044541,             0.00044541
                     50,                0.76759,                0.86338,                 1.0151,                0.61108,                0.37599,                0.45373,                0.32395,                 1.2006,                 1.7686,                 1.2344,             0.00043716,             0.00043716,             0.00043716
                     51,                 0.7524,                0.88936,                0.99735,                0.57994,                0.47357,                0.49919,                0.36231,                 1.1604,                  1.649,                 1.2367,             0.00042891,             0.00042891,             0.00042891
                     52,                0.77926,                0.86865,                 0.9946,                 0.5355,                0.45705,                0.48631,                 0.3481,                 1.1785,                 1.6689,                 1.2402,             0.00042066,             0.00042066,             0.00042066
                     53,                0.73199,                0.80556,                 1.0011,                0.64747,                0.46461,                 0.4998,                0.35357,                 1.1402,                 1.6002,                 1.1937,             0.00041242,             0.00041242,             0.00041242
                     54,                0.77011,                0.83765,                 0.9996,                0.59699,                0.47547,                0.48731,                0.34079,                 1.1825,                 1.6773,                 1.2346,             0.00040417,             0.00040417,             0.00040417
                     55,                0.75287,                0.79804,                 1.0005,                0.61436,                0.39731,                0.46333,                0.33368,                 1.1334,                 1.6638,                  1.207,             0.00039592,             0.00039592,             0.00039592
                     56,                0.71989,                0.80191,                0.98075,                0.58188,                0.47691,                0.50949,                0.37193,                 1.1082,                 1.5032,                 1.1971,             0.00038768,             0.00038768,             0.00038768
                     57,                0.73257,                0.77178,                0.98341,                0.55677,                0.48302,                0.50354,                 0.3657,                 1.1072,                 1.5687,                 1.1779,             0.00037943,             0.00037943,             0.00037943
                     58,                0.72604,                0.75996,                0.98707,                0.65643,                0.42195,                0.50047,                0.35573,                 1.1433,                 1.5891,                 1.1927,             0.00037118,             0.00037118,             0.00037118
                     59,                0.73758,                0.77467,                0.98412,                0.57535,                0.47596,                0.51016,                0.36052,                 1.1296,                 1.6301,                 1.1834,             0.00036294,             0.00036294,             0.00036294
                     60,                0.71955,                 0.7645,                0.98198,                0.59253,                0.51686,                0.51487,                0.36478,                  1.139,                 1.6101,                 1.1824,             0.00035469,             0.00035469,             0.00035469
                     61,                  0.705,                0.75884,                0.97908,                0.60999,                0.40411,                0.48764,                0.34851,                 1.1551,                  1.633,                 1.2012,             0.00034644,             0.00034644,             0.00034644
                     62,                0.71307,                0.72981,                0.99276,                 0.6717,                0.43717,                0.51419,                0.36425,                 1.1511,                 1.5299,                 1.2226,              0.0003382,              0.0003382,              0.0003382
                     63,                0.73239,                0.75351,                0.98434,                0.55852,                0.48797,                0.52888,                0.38208,                 1.1317,                  1.487,                 1.2093,             0.00032995,             0.00032995,             0.00032995
                     64,                0.72072,                0.74711,                0.98193,                0.53821,                 0.5024,                0.52707,                0.38431,                 1.1366,                 1.4795,                 1.2072,              0.0003217,              0.0003217,              0.0003217
                     65,                0.68552,                0.71072,                0.96927,                0.54138,                0.50659,                0.50713,                0.36539,                 1.1364,                 1.5492,                 1.2059,             0.00031346,             0.00031346,             0.00031346
                     66,                0.72798,                0.70961,                0.97542,                0.56956,                0.45678,                0.50581,                0.36497,                 1.1405,                   1.57,                 1.2116,             0.00030521,             0.00030521,             0.00030521
                     67,                0.70419,                0.73574,                0.97583,                0.63005,                 0.4484,                0.51468,                0.38043,                 1.1191,                 1.5009,                 1.1909,             0.00029696,             0.00029696,             0.00029696
                     68,                0.67668,                0.68547,                0.96025,                0.58268,                0.50639,                0.51262,                 0.3721,                 1.1369,                 1.5524,                 1.2089,             0.00028872,             0.00028872,             0.00028872
                     69,                0.68647,                0.69784,                0.96808,                0.59219,                0.47463,                0.52259,                0.37601,                 1.1396,                 1.5707,                 1.2065,             0.00028047,             0.00028047,             0.00028047
                     70,                 0.6851,                0.69518,                0.96711,                0.69058,                0.48896,                0.54211,                0.38541,                 1.1323,                 1.5654,                 1.1972,             0.00027222,             0.00027222,             0.00027222
                     71,                0.66981,                0.67053,                0.95915,                0.65239,                0.48469,                0.54312,                0.38677,                 1.1418,                 1.4746,                 1.2117,             0.00026398,             0.00026398,             0.00026398
                     72,                0.68368,                0.67926,                0.97658,                 0.7779,                0.43356,                0.54255,                0.38083,                 1.1385,                 1.4948,                 1.2105,             0.00025573,             0.00025573,             0.00025573
                     73,                0.68019,                0.64715,                0.95257,                0.60396,                0.50302,                0.52763,                0.37831,                 1.1286,                 1.4798,                 1.2056,             0.00024748,             0.00024748,             0.00024748
                     74,                0.68332,                0.67979,                  0.966,                0.65903,                0.45956,                0.52127,                 0.3771,                 1.1374,                 1.5226,                 1.2068,             0.00023924,             0.00023924,             0.00023924
                     75,                0.66745,                0.66473,                0.95274,                0.70463,                0.46985,                0.53399,                0.39028,                  1.104,                 1.4638,                 1.1932,             0.00023099,             0.00023099,             0.00023099
                     76,                0.66251,                0.64307,                0.94716,                0.59685,                0.51312,                0.52983,                0.39162,                 1.1206,                 1.5115,                 1.1956,             0.00022274,             0.00022274,             0.00022274
                     77,                0.68536,                0.67129,                0.96272,                0.62269,                 0.5307,                0.54419,                0.40153,                 1.1204,                 1.4868,                  1.192,              0.0002145,              0.0002145,              0.0002145
                     78,                0.63822,                0.62459,                0.94876,                0.72331,                0.47426,                0.54009,                0.39754,                 1.1083,                 1.4666,                 1.1924,             0.00020625,             0.00020625,             0.00020625
                     79,                 0.6516,                0.62092,                0.93963,                0.73855,                0.44297,                0.53104,                0.39109,                 1.1121,                 1.4574,                  1.203,               0.000198,               0.000198,               0.000198
                     80,                0.62961,                0.60955,                0.94699,                0.71819,                0.47438,                0.54025,                  0.403,                 1.1289,                 1.4213,                  1.217,             0.00018976,             0.00018976,             0.00018976
                     81,                0.62903,                0.60665,                0.94468,                0.74034,                0.48004,                0.54219,                 0.4014,                  1.123,                 1.4131,                 1.2079,             0.00018151,             0.00018151,             0.00018151
                     82,                0.62029,                0.61191,                0.93467,                0.65428,                0.49558,                0.54956,                0.40141,                  1.134,                  1.418,                 1.2126,             0.00017326,             0.00017326,             0.00017326
                     83,                0.64919,                0.63208,                0.94868,                0.74965,                0.47799,                 0.5516,                0.40278,                 1.1079,                 1.3961,                 1.2022,             0.00016502,             0.00016502,             0.00016502
                     84,                0.63434,                0.62265,                 0.9483,                0.72566,                0.49417,                 0.5485,                0.39791,                 1.1257,                 1.4082,                 1.2038,             0.00015677,             0.00015677,             0.00015677
                     85,                 0.6428,                0.60911,                0.93665,                0.62113,                0.53416,                0.56043,                 0.4056,                 1.1323,                 1.4175,                 1.2161,             0.00014852,             0.00014852,             0.00014852
                     86,                0.62168,                0.59246,                0.93018,                0.66737,                0.52017,                0.57164,                 0.4079,                 1.1088,                 1.3538,                 1.1893,             0.00014028,             0.00014028,             0.00014028
                     87,                 0.6254,                0.59266,                0.93165,                0.67257,                0.52246,                0.56791,                0.41277,                 1.1152,                 1.3924,                 1.1821,             0.00013203,             0.00013203,             0.00013203
                     88,                0.63047,                0.59236,                0.93165,                0.69696,                0.51026,                0.55983,                0.41265,                 1.0992,                 1.4124,                 1.1689,             0.00012378,             0.00012378,             0.00012378
                     89,                0.62422,                0.58795,                0.93739,                0.65867,                0.49577,                0.54984,                0.40531,                 1.1053,                 1.4064,                 1.1737,             0.00011554,             0.00011554,             0.00011554
                     90,                0.59247,                0.55788,                0.92164,                0.73307,                0.47212,                0.55057,                0.40238,                 1.1148,                 1.4372,                 1.1821,             0.00010729,             0.00010729,             0.00010729
                     91,                0.60296,                0.57531,                0.90076,                 0.7067,                0.49114,                0.55441,                0.40898,                  1.113,                 1.4341,                 1.1943,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                0.59263,                0.55603,                0.89835,                0.73575,                0.47311,                0.55351,                 0.4095,                 1.1007,                  1.427,                 1.1955,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                0.59321,                 0.5307,                0.89237,                0.72766,                0.46207,                0.54854,                0.39988,                 1.0924,                 1.4733,                 1.1928,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                 0.5697,                0.51054,                0.88036,                0.74517,                0.45601,                 0.5367,                0.39391,                 1.1199,                 1.5243,                 1.2097,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                0.54017,                0.50359,                0.86809,                0.77292,                0.44088,                0.53849,                0.39351,                 1.1059,                  1.472,                 1.1978,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                0.55305,                0.50555,                0.87302,                0.68891,                0.46884,                0.54477,                0.40064,                 1.0918,                 1.4323,                 1.1927,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                0.55971,                0.49971,                0.87918,                0.74185,                0.45356,                0.54793,                0.40038,                 1.0844,                 1.4082,                 1.1878,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                0.56276,                0.48965,                0.86301,                0.71816,                0.45781,                0.54368,                0.39571,                 1.0919,                 1.4244,                 1.1915,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                0.53733,                0.48874,                 0.8683,                0.74712,                0.45979,                0.54689,                0.40155,                  1.099,                 1.4251,                 1.1932,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                0.53551,                0.48381,                0.86415,                0.73358,                 0.4656,                0.54778,                0.39985,                  1.097,                 1.4275,                 1.1866,             2.4823e-05,             2.4823e-05,             2.4823e-05
