                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76163,                0.76147,                 1.0306,                0.66042,                0.44084,                0.50566,                0.35431,                 1.2035,                 1.6211,                  1.293,             0.00056086,             0.00056086,             0.00056086
                     36,                0.78776,                0.77005,                 1.0295,                0.69745,                0.44214,                 0.5275,                0.36431,                 1.1716,                 1.4728,                 1.2602,             0.00055261,             0.00055261,             0.00055261
                     37,                 0.7834,                0.77002,                 1.0139,                 0.5915,                0.46532,                0.49845,                0.33582,                 1.2225,                 1.5351,                 1.3055,             0.00054437,             0.00054437,             0.00054437
                     38,                0.76168,                0.73948,                 1.0092,                0.63841,                0.50177,                0.52131,                0.35911,                 1.1749,                 1.5096,                 1.2738,             0.00053612,             0.00053612,             0.00053612
                     39,                0.75792,                0.72447,                 1.0191,                0.64856,                0.46585,                0.51451,                0.36363,                 1.1857,                 1.5254,                 1.2552,             0.00052787,             0.00052787,             0.00052787
                     40,                0.74619,                0.74381,                  1.007,                0.58879,                0.48883,                0.51125,                0.35917,                 1.1831,                 1.5246,                 1.2699,             0.00051963,             0.00051963,             0.00051963
                     41,                0.72421,                0.69847,                0.99874,                0.63543,                0.45773,                 0.5235,                0.35844,                 1.1834,                 1.4445,                 1.2737,             0.00051138,             0.00051138,             0.00051138
                     42,                0.75675,                0.74064,                 1.0182,                0.66224,                0.46857,                0.53207,                0.37548,                 1.1537,                 1.4259,                 1.2415,             0.00050313,             0.00050313,             0.00050313
                     43,                0.71229,                0.68256,                0.99239,                0.70995,                0.48304,                0.53959,                0.38014,                 1.1879,                 1.4314,                 1.2766,             0.00049489,             0.00049489,             0.00049489
                     44,                0.71801,                0.68881,                0.97669,                0.61639,                0.47517,                0.47232,                0.32476,                 1.1825,                 1.6298,                 1.2691,             0.00048664,             0.00048664,             0.00048664
                     45,                0.71651,                0.65403,                0.97008,                0.57061,                0.49455,                0.47906,                0.34215,                 1.1684,                 1.5575,                 1.2804,             0.00047839,             0.00047839,             0.00047839
                     46,                0.70532,                0.64641,                0.99478,                0.67445,                0.49199,                0.50994,                0.36134,                 1.1814,                 1.5125,                 1.3041,             0.00047015,             0.00047015,             0.00047015
                     47,                0.70428,                0.63268,                0.99244,                0.71089,                0.49512,                0.51871,                0.37237,                 1.1339,                 1.4642,                 1.2711,              0.0004619,              0.0004619,              0.0004619
                     48,                0.69602,                0.63358,                0.97056,                0.60075,                0.51313,                0.50462,                0.35619,                  1.142,                 1.5575,                 1.2664,             0.00045365,             0.00045365,             0.00045365
                     49,                0.70044,                0.65433,                0.99093,                0.61359,                0.39768,                0.47143,                0.32763,                 1.1926,                 1.7552,                 1.3037,             0.00044541,             0.00044541,             0.00044541
                     50,                0.67591,                0.62057,                0.98646,                0.55042,                0.44448,                0.46449,                0.32583,                 1.1456,                  1.686,                 1.2817,             0.00043716,             0.00043716,             0.00043716
                     51,                0.67549,                 0.6278,                0.97136,                0.54942,                0.47303,                0.50348,                0.35074,                 1.1666,                   1.53,                 1.2787,             0.00042891,             0.00042891,             0.00042891
                     52,                0.67896,                0.61432,                0.96758,                0.59099,                0.47912,                0.52036,                0.36509,                 1.1466,                 1.5406,                 1.2817,             0.00042066,             0.00042066,             0.00042066
                     53,                0.65072,                0.58834,                 0.9755,                 0.6095,                0.46345,                0.50004,                0.35013,                 1.1521,                 1.5362,                 1.2599,             0.00041242,             0.00041242,             0.00041242
                     54,                 0.6854,                0.61759,                0.98163,                0.59419,                0.46592,                0.48724,                0.34194,                 1.1674,                 1.6111,                 1.2874,             0.00040417,             0.00040417,             0.00040417
                     55,                 0.6697,                0.58584,                0.97505,                0.65839,                0.43666,                0.48302,                0.34254,                 1.1377,                 1.6757,                   1.25,             0.00039592,             0.00039592,             0.00039592
                     56,                0.64308,                 0.5742,                0.96212,                0.64338,                0.48013,                0.51577,                0.37127,                 1.1574,                 1.5439,                 1.2651,             0.00038768,             0.00038768,             0.00038768
                     57,                0.64897,                0.57931,                 0.9613,                0.62364,                0.50346,                0.50694,                0.36939,                 1.1305,                 1.5155,                 1.2571,             0.00037943,             0.00037943,             0.00037943
                     58,                0.64263,                0.53738,                0.96757,                0.60188,                0.49066,                0.49986,                0.35349,                 1.1361,                 1.5775,                 1.2552,             0.00037118,             0.00037118,             0.00037118
                     59,                0.64199,                0.54827,                0.95348,                0.63093,                0.46328,                0.51228,                 0.3657,                 1.1431,                 1.5238,                 1.2453,             0.00036294,             0.00036294,             0.00036294
                     60,                0.63886,                0.55163,                0.95446,                0.68334,                0.44761,                0.50847,                0.36392,                 1.1413,                 1.4625,                 1.2458,             0.00035469,             0.00035469,             0.00035469
                     61,                 0.6213,                0.54428,                0.95221,                 0.6059,                0.43498,                0.47319,                0.33201,                 1.1421,                 1.5825,                 1.2641,             0.00034644,             0.00034644,             0.00034644
                     62,                0.62074,                0.53417,                0.95629,                0.57248,                0.48651,                0.50346,                0.35254,                 1.1306,                 1.4504,                 1.2476,              0.0003382,              0.0003382,              0.0003382
                     63,                0.62526,                0.52839,                0.95416,                0.62049,                0.49566,                 0.5153,                0.36691,                 1.1268,                 1.4842,                 1.2337,             0.00032995,             0.00032995,             0.00032995
                     64,                0.62775,                0.54134,                0.94862,                0.62764,                0.45725,                0.50382,                0.35701,                 1.1532,                 1.5468,                  1.291,              0.0003217,              0.0003217,              0.0003217
                     65,                0.59423,                0.50534,                0.94075,                0.63726,                0.46639,                0.51769,                0.36328,                 1.1663,                  1.521,                 1.2821,             0.00031346,             0.00031346,             0.00031346
                     66,                0.62211,                0.50464,                0.94521,                0.70045,                0.45041,                0.52889,                0.37591,                 1.1462,                 1.4864,                 1.2622,             0.00030521,             0.00030521,             0.00030521
                     67,                0.59989,                0.51199,                0.94022,                0.68107,                0.48842,                0.52789,                0.37448,                 1.1208,                 1.4566,                 1.2422,             0.00029696,             0.00029696,             0.00029696
                     68,                0.57436,                0.47952,                0.92755,                0.59789,                0.49435,                0.51914,                0.36703,                 1.1518,                 1.5484,                 1.2631,             0.00028872,             0.00028872,             0.00028872
                     69,                0.59209,                 0.4937,                0.94285,                0.61421,                0.48199,                0.52466,                0.36885,                 1.1268,                 1.5455,                 1.2552,             0.00028047,             0.00028047,             0.00028047
                     70,                0.57793,                0.48355,                0.93254,                0.66156,                0.49173,                0.53937,                0.38709,                 1.1043,                 1.4712,                 1.2505,             0.00027222,             0.00027222,             0.00027222
                     71,                0.58049,                0.47328,                0.93748,                0.65489,                0.49286,                0.53236,                0.38244,                 1.1274,                 1.4935,                 1.2721,             0.00026398,             0.00026398,             0.00026398
                     72,                0.57239,                0.47871,                0.93856,                  0.612,                 0.5033,                0.52935,                0.37635,                 1.1168,                  1.542,                 1.2433,             0.00025573,             0.00025573,             0.00025573
                     73,                0.56662,                0.46865,                0.92208,                0.62267,                0.49219,                0.53726,                0.38359,                 1.1067,                 1.4162,                 1.2337,             0.00024748,             0.00024748,             0.00024748
                     74,                 0.5705,                0.48249,                0.93046,                0.60995,                 0.5025,                 0.5215,                0.37289,                 1.1177,                  1.479,                 1.2388,             0.00023924,             0.00023924,             0.00023924
                     75,                 0.5642,                0.45557,                0.92384,                0.65946,                0.47336,                0.52061,                0.36945,                 1.0845,                 1.4816,                 1.2167,             0.00023099,             0.00023099,             0.00023099
                     76,                0.56838,                0.45904,                0.92042,                0.66176,                0.47364,                0.53186,                0.38586,                  1.096,                  1.513,                 1.2261,             0.00022274,             0.00022274,             0.00022274
                     77,                0.57404,                0.46135,                  0.928,                0.60215,                0.51496,                0.52847,                0.38173,                 1.1255,                 1.5123,                 1.2483,              0.0002145,              0.0002145,              0.0002145
                     78,                0.54629,                0.44408,                0.92015,                 0.6836,                0.47904,                 0.5329,                0.38567,                 1.1009,                 1.4806,                 1.2226,             0.00020625,             0.00020625,             0.00020625
                     79,                 0.5493,                 0.4356,                0.90837,                0.60516,                0.50509,                0.52526,                0.38041,                 1.0892,                 1.4803,                 1.2191,               0.000198,               0.000198,               0.000198
                     80,                 0.5338,                 0.4252,                0.91834,                0.60861,                 0.5149,                0.53895,                0.38624,                 1.0849,                 1.4908,                 1.2165,             0.00018976,             0.00018976,             0.00018976
                     81,                0.52162,                0.42078,                0.90955,                0.58856,                0.51118,                0.53821,                0.38495,                 1.1084,                 1.4873,                 1.2352,             0.00018151,             0.00018151,             0.00018151
                     82,                0.52596,                0.42881,                0.90639,                0.58731,                0.52861,                0.53126,                0.38185,                 1.0954,                 1.4687,                 1.2272,             0.00017326,             0.00017326,             0.00017326
                     83,                0.54391,                0.43826,                0.91829,                0.64668,                0.48843,                0.54045,                 0.3969,                 1.0708,                  1.422,                 1.1993,             0.00016502,             0.00016502,             0.00016502
                     84,                0.53025,                0.43489,                0.91825,                0.61173,                0.48362,                0.52799,                0.38846,                 1.0765,                 1.4659,                 1.2073,             0.00015677,             0.00015677,             0.00015677
                     85,                0.53079,                0.42692,                0.90421,                0.53209,                0.54064,                0.52922,                0.38366,                 1.0804,                 1.4826,                 1.2145,             0.00014852,             0.00014852,             0.00014852
                     86,                0.51316,                0.41574,                0.89896,                 0.5355,                0.53153,                0.53256,                0.38396,                 1.0773,                 1.4821,                  1.226,             0.00014028,             0.00014028,             0.00014028
                     87,                0.51876,                0.41099,                0.90723,                0.52153,                0.53562,                0.52006,                0.37636,                 1.1081,                 1.5064,                 1.2564,             0.00013203,             0.00013203,             0.00013203
                     88,                0.51967,                0.40725,                0.90147,                0.71667,                0.46059,                0.53425,                0.38835,                 1.1028,                 1.4891,                 1.2492,             0.00012378,             0.00012378,             0.00012378
                     89,                0.51512,                0.40493,                0.90755,                0.63497,                0.50437,                0.54175,                0.39301,                 1.0909,                 1.4733,                 1.2277,             0.00011554,             0.00011554,             0.00011554
                     90,                 0.4999,                0.39169,                0.89847,                0.59215,                0.51472,                0.53796,                0.39792,                 1.0928,                  1.465,                 1.2304,             0.00010729,             0.00010729,             0.00010729
                     91,                0.49208,                 0.3605,                0.86791,                 0.6007,                0.51275,                0.53053,                0.38703,                 1.0788,                 1.4576,                 1.2229,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                0.48321,                0.34454,                0.86295,                0.60534,                 0.5016,                0.53406,                0.38484,                 1.0931,                 1.4971,                 1.2395,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                0.48391,                0.33138,                0.85527,                0.54941,                0.51566,                0.53068,                0.38678,                 1.0885,                  1.517,                 1.2445,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                0.46239,                0.31878,                 0.8483,                0.70663,                0.46537,                0.53785,                0.38981,                 1.0969,                 1.5247,                 1.2381,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                 0.4422,                0.31489,                0.83889,                0.71619,                0.46659,                 0.5456,                0.39425,                  1.103,                    1.5,                 1.2385,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                0.45797,                0.31611,                0.84423,                0.69363,                0.49011,                0.54689,                0.39348,                 1.1013,                 1.4703,                 1.2358,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                0.45056,                0.31494,                0.84422,                 0.6881,                0.49199,                0.54265,                0.39464,                 1.0991,                 1.4568,                 1.2293,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                0.44209,                0.31406,                0.82736,                0.71468,                0.49002,                 0.5405,                0.39476,                 1.0891,                 1.4435,                 1.2228,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                 0.4287,                0.30741,                0.83944,                0.69349,                0.49174,                0.54108,                0.39483,                 1.0896,                 1.4585,                 1.2227,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                0.43648,                0.30423,                0.83233,                0.70624,                0.47901,                0.53732,                0.39279,                 1.0904,                  1.486,                  1.223,             2.4823e-05,             2.4823e-05,             2.4823e-05
